,line_num,og_line_num,article_id,title,date,page,newspaper_id,newspaper_title,category,words,illustrated,edition,supplement,section,url,page_url,snippet,relevance,status,corrections,last_corrected,tags,comments,lists,text,pdf,images,placenames
10,10,155,100497245,"SPORTING. BY "" AUGUR""S GHOST.""",1895-09-03,2,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,646,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100497245,https://nla.gov.au/nla.news-page10682086,"The drawing of ""Tattersall's"" St. Alba[?]s's Estate Distribution has been fixed for October 24. The first cricker match of the season was",170.5399169921875,Empty,0,Empty,0,0,0,text/18950903-431-100497245.txt,Empty,Empty,"Roval, Kerarbury, Wsgga Wagga, Yerong, Sydney, Vivian, Virian"
11,11,168,100497710,"SPORTING. ""AUGUR'S GHOST.""",1895-11-19,2,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,501,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100497710,https://nla.gov.au/nla.news-page10682139,"The St. Albans Estate was submitted to auction at Melbourne on Wednesday, and was knocked down, [?] its former owner, Mr. W. R. Wilson, for £24,000.",204.1138458251953,Empty,0,Empty,0,0,0,text/18951119-431-100497710.txt,Empty,Empty,"Meleiina, Syd, Hawley, Australasia, Parsons, America, Sinia, Cirbine"
12,12,172,100497864,"BR ""AUGUR'S GHOST.""",1895-04-30,2,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,1063,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100497864,https://nla.gov.au/nla.news-page10682004,"A meeting of the committee of the Narandera Turf Club was held at the Royal Mail Hotel yesterday afternoon. Present- Merssrs J.F.Willians in the chair),",203.3043365478516,Empty,0,Empty,0,0,0,text/18950430-431-100497864.txt,Empty,Empty,"NARAN, ABRA, GOUGH, WISE, SYDNEY, GRAY, IJEONA, CRESSY, SNNFLY, MALACHITE, LONDON, INDIA, ESOAPADEHAS, SYDNEV, SOUTH GUNDAGAT, DUOKENFIELD, SOUTH AFRICA, SOUTH, SYDNEY, CHI, , WHITTON AMATEUR TURF CLUB, KENSINGTON, SOUTH SYDNEYITES"
13,13,176,100497995,"BY ""AUGUR'S GHOST.""",1895-02-19,2,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,594,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100497995,https://nla.gov.au/nla.news-page10681960,"Silver Rose has not returned home, but is at Cootamundra, where she is being looked after by her trainer. Teddy Curran leaves on Tuesday for Junes, with Boss Tailor and",203.4266357421875,Empty,0,Empty,0,0,0,text/18950219-431-100497995.txt,Empty,Empty,"Wednes, Dora, Aquarius, Calculus, Ciiester, Vesper, Star, Kosiry, Iudia, Austra"
14,14,178,100498043,"BY ""AUGURS GHOST.""",1895-04-18,1 S,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,273,N,Empty,Supplement to the Narandera Argus,Empty,https://nla.gov.au/nla.news-article100498043,https://nla.gov.au/nla.news-page10681996,"A match between the second eleven of the Mechanics C.C and a team from Colinroobie was played on Easter Monday, on the Park Wioket. It resulted after a very pleasant",203.73001098632807,Empty,0,Empty,0,0,0,text/18950418-431-100498043.txt,Empty,Empty,"Colinroobie, Graham, Gray, Band"
15,15,180,100498135,"""ARGUR'S GHOST.""",1895-12-17,2,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,596,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100498135,https://nla.gov.au/nla.news-page10682156,"A special meeting of thee Murrumbidgee Turf Club Committee (says the Wagga Express) was held last evening at Tattersall's Australian Hotel, to consider a charge of",223.95407104492188,Empty,0,Empty,0,0,0,text/18951217-431-100498135.txt,Empty,Empty,"Qaumain, Oautnain, Tailor, Hay, Whirton Handicap"
16,16,181,100498151,CHRISTMAS STORY. THE BUNDIDGERY GHOSTS.,1895-12-24,4,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,357,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100498151,https://nla.gov.au/nla.news-page10682163,All newspaper have their Christmas ghosts like Christmas bills they are due. All creeks of more than three syllables have traditions all creeks ending in Jerry,10.368085861206056,Empty,1,2019-05-08T11:39:22Z,0,0,0,text/18951224-431-100498151.txt,Empty,Empty,"Jerry, Sergeuui, Creek"
17,17,185,100498283,"""AUGUR'S GHOST.""",1895-12-03,2,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),Article,976,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100498283,https://nla.gov.au/nla.news-page10682148,"A meeting of the Narandera Pony and Galloway Club will be held on New Years' Day, the programme of which appears in our advertising columns. This is a step in",224.66461181640625,Empty,0,Empty,0,0,1,text/18951203-431-100498283.txt,Empty,Empty,"NEW, HERETIC, WHITTON, MELBOURNE, HANDICAP, ENGLAND, , NAPIER, ZEALAND, U.S., VICTORIA, HOBART, MELBOURNE, CALIFORNIA, LONELY, ENGLAAJ, ST ALBANS, /AND, OTHELLO, CULSTOUU, EUROOLYDON, BERENGARIA, EAGLE, BODICEA, DELEWARE, LAURA, TATTERSILLS"
18,18,203,100668498,SHORT STORY. A DISTILLERY GHOST.,1900-07-13,2 S,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,1434,N,Empty,SUPPLEMENT TO THE NORTHERN ARGUS,Empty,https://nla.gov.au/nla.news-article100668498,https://nla.gov.au/nla.news-page9620594,"It is not necessary to this story that I conjugate my verb ""to be"" in the past tense. In fact, it is a painful subject to me. so I will merely say that I am a",170.7060546875,Empty,0,Empty,0,0,0,text/19000713-372-100668498.txt,Empty,Empty,Ted
19,19,215,100670442,A BLUNDERING GHOST.,1900-08-24,3 S,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,369,N,Empty,SUPPLEMENT TO THE NORTHERN ARGUS,Empty,https://nla.gov.au/nla.news-article100670442,https://nla.gov.au/nla.news-page9620643,"A young man much addicted to practical faking went upon one occasion to visit his uncle, who was the vicar of a small rural village in the West of England. Some short",204.4778747558593,Empty,0,Empty,0,0,0,text/19000824-372-100670442.txt,Empty,Empty,"WEST, "
20,20,216,100670894,ECCENTRIC GHOSTS.,1900-02-23,1 S,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,170,N,Empty,SUPPLEMENT TO THE NORTHERN ARGUS,Empty,https://nla.gov.au/nla.news-article100670894,https://nla.gov.au/nla.news-page9620432,"A story was recently related by a correspondent of the ""Realm"" savouring of the ghostly description; but with the difference that his ghostship was felt",4.548586845397949,Empty,0,Empty,0,0,0,text/19000223-372-100670894.txt,Empty,Empty,"ECCENTRIC, CHESHIRE, "
21,21,217,100670913,"THACKERAY'S ONE-NIGHT ""GHOST.""",1900-02-09,3 S,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,578,N,Empty,SUPPLEMENT TO THE NORTHERN ARGUS,Empty,https://nla.gov.au/nla.news-article100670913,https://nla.gov.au/nla.news-page9620418,"Many readers of ""The Virginians"" have wondered how Thackeray was able to write so graphic and correct an account of his hero's escape from Fort",185.93826293945312,Empty,0,Empty,0,0,0,text/19000209-372-100670913.txt,Empty,Empty,"PORT, LONDON, PORT DUQUEENE, BLIND, , US, HIE"
22,22,220,100671210,HOW GHOSTS ARE MANUFACTURED.,1900-08-31,7,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,752,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100671210,https://nla.gov.au/nla.news-page9620651,"We are still mystery-loving enough to be roused to a state of interest by any tangible manifestation of the invisible, especially when it comes to us ""Under scientific",13.351408004760742,Empty,0,Empty,0,0,0,text/19000831-372-100671210.txt,Empty,Empty,None
23,23,224,100671787,SOME ENGLISH GHOSTS.,1900-03-16,5,372,"Northern Argus (Clare, SA : 1869 - 1954)",Article,1452,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100671787,https://nla.gov.au/nla.news-page9620456,"There is at any rate one ghost in London, for the first Lord Holland is said to walk the Sir Joshua Room in Holland House with his head in his hand",32.12038803100586,Empty,0,Empty,0,0,0,text/19000316-372-100671787.txt,Empty,Empty,"LON, HOL, ENGLAND, ST., HURSTINONCEAUX, NORFOLK, NORFOLK, OAISTOR CASTLE, GREAT, RAIN, RAINHAM, FITZFORD, DEVONSHIRE, LEISRH, SHONFIELD, PITSOA, ORFORD, ORFORD, HEVOR, SCOTS, NORTH COUNTRY, NEWCASTLE, WHITE LADY, SKIPS, CASTLE, MOLDON, WHITE LADY BLCNKINSOP, HYLTON, NORTH COUNTRY, HALTWLIISTLO, SOUTH TYNE, CARLISLE, CHILLIUGHAM, NORTHUMBER, SHIRE"
24,24,237,100704864,THE SKETCHER. SOME SCOTTISH GHOSTS. CASTLES AND MANSIONS THAT ARE HAUNTED,1898-07-30,2 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,1266,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100704864,https://nla.gov.au/nla.news-page10961566,"Scotland, the land of deep enthusiasm and poetic feeling, is essentially a land of superstition; witness the firm belief of the peasantry in the weird traditions of",9.655877113342283,Empty,0,Empty,0,0,0,text/18980730-472-100704864.txt,Empty,Empty,", WEST, HIGHLANDS, GLAIUIS, GLAIUIS, FRENCHWOMAN, PARIS, COR, AIRLIE, PORTEOUS, KDIUBURGLI, BOTLIWELLLIAUGB, , MAELEOD"
25,25,257,100707731,THE PHANTOM OF CASTLE BALLYRAN.,1899-09-16,1 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,2051,Y,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100707731,https://nla.gov.au/nla.news-page10962129,"IT was a wild, stormy evening upon which Will Darrell arrived and took possession",11.857025146484377,Empty,0,Empty,0,0,0,text/18990916-472-100707731.txt,Empty,Empty,"IRELAND, FUNDS, , WEICNMA, MKED, DOOLAN, AMERICAN, BALLYRAN"
26,26,259,100708197,THE GHOST OF ROCKY HILL.,1898-09-03,1 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,2253,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100708197,https://nla.gov.au/nla.news-page10961617,"In the quaint old town of Rockwood, in the neighbourhood of Rocky Bill, stood an ancient farmhouse. An observing traveller might have asked if, indeed, there was anything else in the",171.143798828125,Empty,0,Empty,0,0,0,text/18980903-472-100708197.txt,Empty,Empty,"ROCKWOOD, FACT, , , BOSTON, PAIN, PAIN, , ENGLISH, WASHINGTON, ENGLISH, ROCKWOOD"
27,27,261,100708538,BICYCLE GHOST PARTIES.,1898-07-23,1 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,103,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100708538,https://nla.gov.au/nla.news-page10961556,"According to the New York "" Journal,"" the latest form of cycling diversion is the bicycle ghost-party. Much of the success of the party depends on the story-teller of the evening. He",203.94586181640625,Empty,0,Empty,0,0,0,text/18980723-472-100708538.txt,Empty,Empty,
28,28,265,100709205,A CARIOUS GHOST.,1899-10-28,4,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,430,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100709205,https://nla.gov.au/nla.news-page10962192,"M.A.P tells a queer story of a peculiar kind of ghost which is alleged to be haunting the room of Mr. Milman, the assistant clerk of the House of Commons, who, with his wife",202.3733673095703,Empty,0,Empty,0,0,0,text/18991028-472-100709205.txt,Empty,Empty,None
29,29,268,100709290,THEY WALK THE NIGHT. THE GIANT GHOST OF BENTON.,1899-09-02,1 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,1479,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100709290,https://nla.gov.au/nla.news-page10962110,"The numberless superstitions which beset humanity in the put are almost gone, and with rapid strides the world becomes daily more matter of fact, Still, it continues to",130.07273864746094,Empty,0,Empty,0,0,0,text/18990902-472-100709290.txt,Empty,Empty,"BENTON, BENTON, DRAY, FRENCH, FRENCH, FRENCH, FRENCHES, AMERICAN, BATH, BATH, , BOSTON, ENGLAND, ENGLISH, ENGLAND, HURSTROONCEAUX, BLAOK, ENGLAND, KINGSTON, DROVE, CAISTOR CAST, GREAT MELTON"
30,30,272,100709836,SHORT STORY. THE FORTUNE OF FULLWOOD. A COMPARATIVELY TRUE GHOST STORY.,1898-03-26,2 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,2780,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100709836,https://nla.gov.au/nla.news-page10961418,"Although I bear the common and somewhat plebetan name of John Smith, I can, through my mother's family, reckon kith and kin with half",116.12184143066406,Empty,0,Empty,0,0,0,text/18980326-472-100709836.txt,Empty,Empty,"FULLWOOD, , CLYDE, BANIIOCKLMRO, DOOM, DOOM, FRANK, TLNTO, DOOM, HIE, JOY, FULLWOOD, FULLWOOD, FULHVOOD, DOOM"
31,31,273,100709900,SHORT STORY. THE MINISTER'S GHOST STORY.,1898-12-03,2 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,2329,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100709900,https://nla.gov.au/nla.news-page10961744,"""Good-night, hairns! M'Ivor, see that they at gang to bed at a reasonable hour, and dinna sit up late yessel. The morn's the Fast Day, mind, and ye've to",158.7432861328125,Empty,0,Empty,0,0,0,text/18981203-472-100709900.txt,Empty,Empty,"BARNFITRAE, PSALMS, WHITE, , JONG, HIE, MISS"
32,32,277,100710167,LIKE A GHOST.,1897-02-06,2 S,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,205,N,Empty,SUPPLEMENT TO THE BRAIDWOOD DISPATCH,Empty,https://nla.gov.au/nla.news-article100710167,https://nla.gov.au/nla.news-page10960868,"Sir Henry Irving has frequently been the victim of ludicrous mistakes on the part of his fellow-actors. On one occasion, during the run of ""Hamlet"" a",202.9393310546875,Empty,0,Empty,0,0,0,text/18970206-472-100710167.txt,Empty,Empty,"Jbis, Jlrast"
33,33,292,100712813,A NOISY GHOST IN RUTLAND.,1897-02-10,4,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,375,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100712813,https://nla.gov.au/nla.news-page10960874,"The little village of Edithweston, in Rutlandshire, and, indeed, the whole district round, has been thrown into a state of unmistakable excitement by a mysterious",170.61741638183594,Empty,0,Empty,0,0,0,text/18970210-472-100712813.txt,Empty,Empty,"Rutland, Edithweston, Rut, Midlands"
34,34,297,100713436,THE VAGARIES OF A GHOST.,1897-08-25,2,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),Article,811,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100713436,https://nla.gov.au/nla.news-page10961143,"An extraordinary adventure betel Constable Harland and a supernumerary constable of No.2 Division early on Friday morning. Harland and his mate were patrolling along [?]-street, Strawberry",171.13397216796875,Empty,0,Empty,0,0,0,text/18970825-472-100713436.txt,Empty,Empty,"Xo, Daweon"
35,35,335,100842794,A GHOST WITH A CANDLE.,1874-02-18,4,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,1744,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100842794,https://nla.gov.au/nla.news-page9460985,"One night last week, shortly after midnight, a man, who had been indulging rather freely in ardent spirits, reached his residence in the",171.38922119140625,Empty,0,Empty,0,0,0,text/18740218-366-100842794.txt,Empty,Empty,"BEHING, CHAMBERLAIN, LISBON, MADRID, CINADAS, CIUDAD REAL, WALES, LONG, AUSTRALIAN, AUSTRALIAN, ENGLAND, AUSTRALIAN, AUSTRALIAN, SOUTH AUSTRALIA, MELBOURNE, AUSTRALIAN, AUSTRALIAN, SPAIN, , GERMANY, AUSTRALIAN"
36,36,346,100844587,"THE ""SCIENCE"" OF SPIRITUALISM.",1875-05-08,2,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,1097,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100844587,https://nla.gov.au/nla.news-page9461766,"ON page 359 of the last volume of the Scientific American, we presented some of the teachings of science regarding spiritualism; to-day we further elucidate the subject by",1.585634708404541,Empty,0,Empty,0,0,0,text/18750508-366-100844587.txt,Empty,Empty,Canada
37,37,359,100845595,AN IRISH GHOST-STORY.,1875-03-06,7,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,3133,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100845595,https://nla.gov.au/nla.news-page9461661,"An Irish ghost-story has generally something to do with the ""banshee,"" or death-warner, but a supernatural incident which is said to have",185.1974334716797,Empty,0,Empty,0,0,0,text/18750306-366-100845595.txt,Empty,Empty,"IRISH, GLENFLOSK, KINGSTON, IKNIFE, THAMES DITTON, FRANCE, BRITISH, FRANCE, PARIS, PALERMO, ITALIAN, ITALIAN, ITALIAN, PARIS, MDLLE, MDLLE, "
38,38,378,100848561,FISHER'S GHOST. TO THE EDITOR OF THE EMPIRE.,1874-09-19,8,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,553,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100848561,https://nla.gov.au/nla.news-page9461363,"SIR,—Can you furnish me with answers to the following questions ? Where can I get an authentic account of the appearance of Fisher's apparition ?",138.95166015625,Empty,2,2013-11-17T08:47:08Z,0,0,0,text/18740919-366-100848561.txt,Empty,Empty,"FISHER, Fisher, Sydney, Sydney, Fisher, Campbelltown"
39,39,395,100869962,THE GHOST AT BEECHOVER HALL.,1867-05-11,2,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,3619,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100869962,https://nla.gov.au/nla.news-page9463045,"""I HAVE no hesitation, Captain Arden, in asserting that you are an infidel and a heretic."" Miss Dampier preferred this grave charge against me solely because I had",170.93466186523438,Empty,0,Empty,0,0,0,text/18670511-366-100869962.txt,Empty,Empty,"BEECHOVER HALL, BEECH, , ELIZABETH, ETHEL, C, DAMPIER, ANJOU, REOLAND, BLUE, ETHEL"
40,40,397,100870291,THE GHOST RACKET. TO THE EDITOR OF THE HERALD.,1866-08-18,5,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,132,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100870291,https://nla.gov.au/nla.news-page9462575,"MR. EDITOR,—I wonder that some of your usual correspondents have so far forgotten the cacoethes scribendi with which they are generally afflicted as to have omitted to write to you on the all-engrossing",131.22857666015625,Empty,0,Empty,0,0,0,text/18660818-366-100870291.txt,Empty,Empty,None
41,41,399,100870298,HAVE YOU SEEN THE GHOST?,1866-08-18,2,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,323,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100870298,https://nla.gov.au/nla.news-page9462570,"WHERE ignorance is bliss, 'tis folly to be wise; But in this age prolific so many things arise Exciting curiosity. Of wonders we've a host. Another now sensation now is, ""Have you seen the",171.6265411376953,Empty,0,Empty,0,0,0,text/18660818-366-100870298.txt,Empty,Empty,"Pippina, Sir"
42,42,400,100870301,THE GHOST OF A GRIM SCRAG OF MUTTON.,1866-08-18,2,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,394,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100870301,https://nla.gov.au/nla.news-page9462570,"[The following song, written by the younger Dibdin, was very popular for a short time during the war between Great Britain and the first Napoleon.] A scholar one time, the I can't tell you when,",138.52871704101562,Empty,0,Empty,0,0,0,text/18660818-366-100870301.txt,Empty,Empty,"Mutton, Nor, Illthe, Mutton, Multton, Ilia, Mutton"
43,43,411,100871316,THE HABITS OF BUFFALO GHOSTS.,1867-06-08,7,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,1023,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100871316,https://nla.gov.au/nla.news-page9463100,THE Buffalo (Now York) Express contains the following extraordinary communication:— I have reasons for not signing my name,4.798478603363037,Empty,0,Empty,0,0,0,text/18670608-366-100871316.txt,Empty,Empty,", WASHINGTON"
44,44,426,100872396,A GHOSTLY APOTHECARY.,1866-04-07,2,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),Article,2288,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article100872396,https://nla.gov.au/nla.news-page9462342,"IT was past cloven o'clock. Huxham was becoming very incoherent. I was tired, and yet wakeful. I think I would have given five pounds at that moment to have boon",13.080438613891602,Empty,0,Empty,0,0,0,text/18660407-366-100872396.txt,Empty,Empty,", WHITE HART, HUXHAM, MIDDLESEX, MIDDLE, NODDINGTON, NODDINGTON, WHITE HART, , NODDINGTON, WHITE HART INN, NODDINGTON, WHITE HART, NODDINGTOU, WHITE HART, WHITE HART, NODDINGTON, NODDING"
